ESCENARIO: Palabras codigo de 5 digitos

FUENTE:
S1 -- Codigo: 01010	 | 	 Probabilidad: 0.02968	 | 	 Cant. de informacion: 5.07424
S20 -- Codigo: 01100	 | 	 Probabilidad: 0.02841	 | 	 Cant. de informacion: 5.13732
S21 -- Codigo: 10000	 | 	 Probabilidad: 0.03048	 | 	 Cant. de informacion: 5.03617
S22 -- Codigo: 00011	 | 	 Probabilidad: 0.03317	 | 	 Cant. de informacion: 4.91378
S23 -- Codigo: 10011	 | 	 Probabilidad: 0.03063	 | 	 Cant. de informacion: 5.02868
S24 -- Codigo: 11011	 | 	 Probabilidad: 0.03175	 | 	 Cant. de informacion: 4.97728
S25 -- Codigo: 11000	 | 	 Probabilidad: 0.03238	 | 	 Cant. de informacion: 4.94871
S26 -- Codigo: 11001	 | 	 Probabilidad: 0.03444	 | 	 Cant. de informacion: 4.85958
S27 -- Codigo: 00111	 | 	 Probabilidad: 0.03302	 | 	 Cant. de informacion: 4.9207
S28 -- Codigo: 01110	 | 	 Probabilidad: 0.03222	 | 	 Cant. de informacion: 4.9558
S29 -- Codigo: 00001	 | 	 Probabilidad: 0.02905	 | 	 Cant. de informacion: 5.10544
S30 -- Codigo: 10111	 | 	 Probabilidad: 0.03032	 | 	 Cant. de informacion: 5.04371
S31 -- Codigo: 01101	 | 	 Probabilidad: 0.03159	 | 	 Cant. de informacion: 4.98451
S32 -- Codigo: 01111	 | 	 Probabilidad: 0.03048	 | 	 Cant. de informacion: 5.03617

ENTROPIA: 4.99761

---------------------------------------------------------------------------------------------------

ESCENARIO: Palabras codigo de 7 digitos

FUENTE:
S1 -- Codigo: 0101010	 | 	 Probabilidad: 0.00978	 | 	 Cant. de informacion: 6.67628
S2 -- Codigo: 1001001	 | 	 Probabilidad: 0.00822	 | 	 Cant. de informacion: 6.92626
S3 -- Codigo: 0000101	 | 	 Probabilidad: 0.00533	 | 	 Cant. de informacion: 7.55075
S4 -- Codigo: 0110001	 | 	 Probabilidad: 0.006	 | 	 Cant. de informacion: 7.38082
S5 -- Codigo: 0000110	 | 	 Probabilidad: 0.00867	 | 	 Cant. de informacion: 6.85031
S6 -- Codigo: 0101100	 | 	 Probabilidad: 0.01044	 | 	 Cant. de informacion: 6.58112
S7 -- Codigo: 1001011	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S8 -- Codigo: 0111001	 | 	 Probabilidad: 0.00933	 | 	 Cant. de informacion: 6.74339
S9 -- Codigo: 1100110	 | 	 Probabilidad: 0.00933	 | 	 Cant. de informacion: 6.74339
S10 -- Codigo: 1000110	 | 	 Probabilidad: 0.00711	 | 	 Cant. de informacion: 7.13571
S11 -- Codigo: 0100100	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S12 -- Codigo: 0000010	 | 	 Probabilidad: 0.00644	 | 	 Cant. de informacion: 7.27773
S13 -- Codigo: 0001010	 | 	 Probabilidad: 0.008	 | 	 Cant. de informacion: 6.96578
S14 -- Codigo: 0111101	 | 	 Probabilidad: 0.00644	 | 	 Cant. de informacion: 7.27773
S15 -- Codigo: 0011011	 | 	 Probabilidad: 0.00778	 | 	 Cant. de informacion: 7.00643
S16 -- Codigo: 1100100	 | 	 Probabilidad: 0.00867	 | 	 Cant. de informacion: 6.85031
S17 -- Codigo: 0101011	 | 	 Probabilidad: 0.00733	 | 	 Cant. de informacion: 7.09132
S18 -- Codigo: 1111011	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S19 -- Codigo: 0010000	 | 	 Probabilidad: 0.00644	 | 	 Cant. de informacion: 7.27773
S20 -- Codigo: 0001101	 | 	 Probabilidad: 0.00778	 | 	 Cant. de informacion: 7.00643
S21 -- Codigo: 1001000	 | 	 Probabilidad: 0.01133	 | 	 Cant. de informacion: 6.46328
S22 -- Codigo: 1111111	 | 	 Probabilidad: 0.00911	 | 	 Cant. de informacion: 6.77816
S23 -- Codigo: 0011000	 | 	 Probabilidad: 0.01	 | 	 Cant. de informacion: 6.64386
S24 -- Codigo: 0100111	 | 	 Probabilidad: 0.00711	 | 	 Cant. de informacion: 7.13571
S25 -- Codigo: 1001110	 | 	 Probabilidad: 0.00867	 | 	 Cant. de informacion: 6.85031
S26 -- Codigo: 1110001	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S27 -- Codigo: 1101100	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S28 -- Codigo: 0011111	 | 	 Probabilidad: 0.00733	 | 	 Cant. de informacion: 7.09132
S29 -- Codigo: 1010010	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S30 -- Codigo: 1011011	 | 	 Probabilidad: 0.006	 | 	 Cant. de informacion: 7.38082
S31 -- Codigo: 0000001	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S32 -- Codigo: 1111010	 | 	 Probabilidad: 0.00889	 | 	 Cant. de informacion: 6.81378
S33 -- Codigo: 0001001	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S34 -- Codigo: 0010111	 | 	 Probabilidad: 0.008	 | 	 Cant. de informacion: 6.96578
S35 -- Codigo: 1010100	 | 	 Probabilidad: 0.00889	 | 	 Cant. de informacion: 6.81378
S36 -- Codigo: 0001110	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S37 -- Codigo: 1000011	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S38 -- Codigo: 0101001	 | 	 Probabilidad: 0.00822	 | 	 Cant. de informacion: 6.92626
S39 -- Codigo: 1101001	 | 	 Probabilidad: 0.00489	 | 	 Cant. de informacion: 7.67628
S40 -- Codigo: 1011111	 | 	 Probabilidad: 0.00711	 | 	 Cant. de informacion: 7.13571
S41 -- Codigo: 1110000	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S42 -- Codigo: 0010110	 | 	 Probabilidad: 0.00822	 | 	 Cant. de informacion: 6.92626
S43 -- Codigo: 1011110	 | 	 Probabilidad: 0.00911	 | 	 Cant. de informacion: 6.77816
S44 -- Codigo: 1101010	 | 	 Probabilidad: 0.00689	 | 	 Cant. de informacion: 7.18151
S45 -- Codigo: 1100101	 | 	 Probabilidad: 0.00978	 | 	 Cant. de informacion: 6.67628
S46 -- Codigo: 0000100	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S47 -- Codigo: 0100010	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S48 -- Codigo: 0000011	 | 	 Probabilidad: 0.00689	 | 	 Cant. de informacion: 7.18151
S49 -- Codigo: 1010011	 | 	 Probabilidad: 0.00689	 | 	 Cant. de informacion: 7.18151
S50 -- Codigo: 1101000	 | 	 Probabilidad: 0.00689	 | 	 Cant. de informacion: 7.18151
S51 -- Codigo: 0100001	 | 	 Probabilidad: 0.00644	 | 	 Cant. de informacion: 7.27773
S52 -- Codigo: 1100011	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S53 -- Codigo: 0011001	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S54 -- Codigo: 1111100	 | 	 Probabilidad: 0.00711	 | 	 Cant. de informacion: 7.13571
S55 -- Codigo: 0100011	 | 	 Probabilidad: 0.00733	 | 	 Cant. de informacion: 7.09132
S56 -- Codigo: 1111101	 | 	 Probabilidad: 0.00733	 | 	 Cant. de informacion: 7.09132
S57 -- Codigo: 1100000	 | 	 Probabilidad: 0.00889	 | 	 Cant. de informacion: 6.81378
S58 -- Codigo: 0111010	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S59 -- Codigo: 0011101	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S60 -- Codigo: 1110010	 | 	 Probabilidad: 0.00644	 | 	 Cant. de informacion: 7.27773
S61 -- Codigo: 1110101	 | 	 Probabilidad: 0.00933	 | 	 Cant. de informacion: 6.74339
S62 -- Codigo: 1101110	 | 	 Probabilidad: 0.00622	 | 	 Cant. de informacion: 7.32835
S63 -- Codigo: 1100111	 | 	 Probabilidad: 0.00778	 | 	 Cant. de informacion: 7.00643
S64 -- Codigo: 0010001	 | 	 Probabilidad: 0.00956	 | 	 Cant. de informacion: 6.70944
S65 -- Codigo: 0001111	 | 	 Probabilidad: 0.00778	 | 	 Cant. de informacion: 7.00643
S66 -- Codigo: 0001011	 | 	 Probabilidad: 0.00822	 | 	 Cant. de informacion: 6.92626
S67 -- Codigo: 1010111	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S68 -- Codigo: 1101111	 | 	 Probabilidad: 0.01	 | 	 Cant. de informacion: 6.64386
S69 -- Codigo: 0110011	 | 	 Probabilidad: 0.00733	 | 	 Cant. de informacion: 7.09132
S70 -- Codigo: 1000101	 | 	 Probabilidad: 0.00933	 | 	 Cant. de informacion: 6.74339
S71 -- Codigo: 0001100	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S72 -- Codigo: 0101110	 | 	 Probabilidad: 0.008	 | 	 Cant. de informacion: 6.96578
S73 -- Codigo: 0110100	 | 	 Probabilidad: 0.00689	 | 	 Cant. de informacion: 7.18151
S74 -- Codigo: 0100110	 | 	 Probabilidad: 0.006	 | 	 Cant. de informacion: 7.38082
S75 -- Codigo: 0101000	 | 	 Probabilidad: 0.00889	 | 	 Cant. de informacion: 6.81378
S76 -- Codigo: 1011010	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S77 -- Codigo: 0010011	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S78 -- Codigo: 0010101	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S79 -- Codigo: 1011101	 | 	 Probabilidad: 0.00622	 | 	 Cant. de informacion: 7.32835
S80 -- Codigo: 1111000	 | 	 Probabilidad: 0.00978	 | 	 Cant. de informacion: 6.67628
S81 -- Codigo: 1111110	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S82 -- Codigo: 1000010	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S83 -- Codigo: 1000000	 | 	 Probabilidad: 0.01	 | 	 Cant. de informacion: 6.64386
S84 -- Codigo: 0111111	 | 	 Probabilidad: 0.00733	 | 	 Cant. de informacion: 7.09132
S85 -- Codigo: 0111000	 | 	 Probabilidad: 0.00822	 | 	 Cant. de informacion: 6.92626
S86 -- Codigo: 0101111	 | 	 Probabilidad: 0.00689	 | 	 Cant. de informacion: 7.18151
S87 -- Codigo: 1010110	 | 	 Probabilidad: 0.00889	 | 	 Cant. de informacion: 6.81378
S88 -- Codigo: 1001010	 | 	 Probabilidad: 0.00711	 | 	 Cant. de informacion: 7.13571
S89 -- Codigo: 0110000	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S90 -- Codigo: 1000111	 | 	 Probabilidad: 0.006	 | 	 Cant. de informacion: 7.38082
S91 -- Codigo: 1100010	 | 	 Probabilidad: 0.00822	 | 	 Cant. de informacion: 6.92626
S92 -- Codigo: 0111110	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S93 -- Codigo: 1101011	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S94 -- Codigo: 0011100	 | 	 Probabilidad: 0.01022	 | 	 Cant. de informacion: 6.61215
S95 -- Codigo: 1010000	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S96 -- Codigo: 0001000	 | 	 Probabilidad: 0.00578	 | 	 Cant. de informacion: 7.43527
S97 -- Codigo: 1110100	 | 	 Probabilidad: 0.00711	 | 	 Cant. de informacion: 7.13571
S98 -- Codigo: 0111011	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S99 -- Codigo: 1110011	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S100 -- Codigo: 0011010	 | 	 Probabilidad: 0.008	 | 	 Cant. de informacion: 6.96578
S101 -- Codigo: 1011100	 | 	 Probabilidad: 0.00933	 | 	 Cant. de informacion: 6.74339
S102 -- Codigo: 0101101	 | 	 Probabilidad: 0.00822	 | 	 Cant. de informacion: 6.92626
S103 -- Codigo: 1111001	 | 	 Probabilidad: 0.00622	 | 	 Cant. de informacion: 7.32835
S104 -- Codigo: 0111100	 | 	 Probabilidad: 0.00956	 | 	 Cant. de informacion: 6.70944
S105 -- Codigo: 1011000	 | 	 Probabilidad: 0.01067	 | 	 Cant. de informacion: 6.55075
S106 -- Codigo: 0010100	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S107 -- Codigo: 0110101	 | 	 Probabilidad: 0.008	 | 	 Cant. de informacion: 6.96578
S108 -- Codigo: 0110111	 | 	 Probabilidad: 0.008	 | 	 Cant. de informacion: 6.96578
S109 -- Codigo: 0100101	 | 	 Probabilidad: 0.00978	 | 	 Cant. de informacion: 6.67628
S110 -- Codigo: 0110010	 | 	 Probabilidad: 0.00733	 | 	 Cant. de informacion: 7.09132
S111 -- Codigo: 1110111	 | 	 Probabilidad: 0.00689	 | 	 Cant. de informacion: 7.18151
S112 -- Codigo: 1001101	 | 	 Probabilidad: 0.00978	 | 	 Cant. de informacion: 6.67628
S113 -- Codigo: 0000000	 | 	 Probabilidad: 0.00644	 | 	 Cant. de informacion: 7.27773
S114 -- Codigo: 1000001	 | 	 Probabilidad: 0.00667	 | 	 Cant. de informacion: 7.22882
S115 -- Codigo: 0010010	 | 	 Probabilidad: 0.008	 | 	 Cant. de informacion: 6.96578
S116 -- Codigo: 0100000	 | 	 Probabilidad: 0.01	 | 	 Cant. de informacion: 6.64386
S117 -- Codigo: 1011001	 | 	 Probabilidad: 0.00644	 | 	 Cant. de informacion: 7.27773
S118 -- Codigo: 1100001	 | 	 Probabilidad: 0.00978	 | 	 Cant. de informacion: 6.67628
S119 -- Codigo: 1001111	 | 	 Probabilidad: 0.00778	 | 	 Cant. de informacion: 7.00643
S120 -- Codigo: 0011110	 | 	 Probabilidad: 0.00711	 | 	 Cant. de informacion: 7.13571
S121 -- Codigo: 1010001	 | 	 Probabilidad: 0.00733	 | 	 Cant. de informacion: 7.09132
S122 -- Codigo: 0110110	 | 	 Probabilidad: 0.00844	 | 	 Cant. de informacion: 6.88778
S123 -- Codigo: 0000111	 | 	 Probabilidad: 0.006	 | 	 Cant. de informacion: 7.38082
S124 -- Codigo: 1000100	 | 	 Probabilidad: 0.00556	 | 	 Cant. de informacion: 7.49185
S125 -- Codigo: 1101101	 | 	 Probabilidad: 0.00756	 | 	 Cant. de informacion: 7.04825
S126 -- Codigo: 1010101	 | 	 Probabilidad: 0.00511	 | 	 Cant. de informacion: 7.61215
S127 -- Codigo: 1001100	 | 	 Probabilidad: 0.00778	 | 	 Cant. de informacion: 7.00643
S128 -- Codigo: 1110110	 | 	 Probabilidad: 0.00822	 | 	 Cant. de informacion: 6.92626

ENTROPIA: 6.98132

---------------------------------------------------------------------------------------------------

ESCENARIO: Palabras codigo de 9 digitos

FUENTE:
S1 -- Codigo: 010101010	 | 	 Probabilidad: 8.6E-4	 | 	 Cant. de informacion: 10.18818
S2 -- Codigo: 010010000	 | 	 Probabilidad: 0.00314	 | 	 Cant. de informacion: 8.31371
S3 -- Codigo: 101011000	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S4 -- Codigo: 100001100	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S5 -- Codigo: 101100100	 | 	 Probabilidad: 0.00314	 | 	 Cant. de informacion: 8.31371
S6 -- Codigo: 101101110	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S7 -- Codigo: 011100110	 | 	 Probabilidad: 0.00114	 | 	 Cant. de informacion: 9.77314
S8 -- Codigo: 100011001	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S9 -- Codigo: 001000000	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S10 -- Codigo: 010000101	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S11 -- Codigo: 001011000	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S12 -- Codigo: 111101001	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S13 -- Codigo: 101111001	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S14 -- Codigo: 000101011	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S15 -- Codigo: 111101100	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S16 -- Codigo: 100000001	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S17 -- Codigo: 011111110	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S18 -- Codigo: 011000111	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S19 -- Codigo: 101101001	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S20 -- Codigo: 111001110	 | 	 Probabilidad: 0.00314	 | 	 Cant. de informacion: 8.31371
S21 -- Codigo: 111000111	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S22 -- Codigo: 011000011	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S23 -- Codigo: 010110110	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S24 -- Codigo: 000001100	 | 	 Probabilidad: 0.00343	 | 	 Cant. de informacion: 8.18818
S25 -- Codigo: 100111110	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S26 -- Codigo: 101001001	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S27 -- Codigo: 010011100	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S28 -- Codigo: 010010010	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S29 -- Codigo: 111101010	 | 	 Probabilidad: 0.00314	 | 	 Cant. de informacion: 8.31371
S30 -- Codigo: 010100100	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S31 -- Codigo: 001110100	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S32 -- Codigo: 001101010	 | 	 Probabilidad: 0.00143	 | 	 Cant. de informacion: 9.45121
S33 -- Codigo: 011101001	 | 	 Probabilidad: 0.00114	 | 	 Cant. de informacion: 9.77314
S34 -- Codigo: 101111111	 | 	 Probabilidad: 0.00143	 | 	 Cant. de informacion: 9.45121
S35 -- Codigo: 100000010	 | 	 Probabilidad: 0.00114	 | 	 Cant. de informacion: 9.77314
S36 -- Codigo: 110101111	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S37 -- Codigo: 011010101	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S38 -- Codigo: 100101001	 | 	 Probabilidad: 0.00143	 | 	 Cant. de informacion: 9.45121
S39 -- Codigo: 101100001	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S40 -- Codigo: 001001110	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S41 -- Codigo: 000110111	 | 	 Probabilidad: 0.00314	 | 	 Cant. de informacion: 8.31371
S42 -- Codigo: 001100111	 | 	 Probabilidad: 0.00343	 | 	 Cant. de informacion: 8.18818
S43 -- Codigo: 101010001	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S44 -- Codigo: 000000111	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S45 -- Codigo: 010011001	 | 	 Probabilidad: 0.00314	 | 	 Cant. de informacion: 8.31371
S46 -- Codigo: 011100001	 | 	 Probabilidad: 0.00114	 | 	 Cant. de informacion: 9.77314
S47 -- Codigo: 001101000	 | 	 Probabilidad: 0.00143	 | 	 Cant. de informacion: 9.45121
S48 -- Codigo: 010000111	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S49 -- Codigo: 000110011	 | 	 Probabilidad: 8.6E-4	 | 	 Cant. de informacion: 10.18818
S50 -- Codigo: 001111110	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S51 -- Codigo: 001000110	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S52 -- Codigo: 001010010	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S53 -- Codigo: 101011111	 | 	 Probabilidad: 0.00114	 | 	 Cant. de informacion: 9.77314
S54 -- Codigo: 010100111	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S55 -- Codigo: 110100111	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S56 -- Codigo: 010001110	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S57 -- Codigo: 111000110	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S58 -- Codigo: 010000001	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S59 -- Codigo: 100111100	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S60 -- Codigo: 101110101	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S61 -- Codigo: 110111000	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S62 -- Codigo: 000111100	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S63 -- Codigo: 111000010	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S64 -- Codigo: 011011000	 | 	 Probabilidad: 0.00343	 | 	 Cant. de informacion: 8.18818
S65 -- Codigo: 010001000	 | 	 Probabilidad: 0.00143	 | 	 Cant. de informacion: 9.45121
S66 -- Codigo: 111111001	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S67 -- Codigo: 000001011	 | 	 Probabilidad: 0.00371	 | 	 Cant. de informacion: 8.0727
S68 -- Codigo: 001100110	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S69 -- Codigo: 101111101	 | 	 Probabilidad: 0.00114	 | 	 Cant. de informacion: 9.77314
S70 -- Codigo: 111011001	 | 	 Probabilidad: 0.00114	 | 	 Cant. de informacion: 9.77314
S71 -- Codigo: 110001010	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S72 -- Codigo: 001100011	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S73 -- Codigo: 000110010	 | 	 Probabilidad: 0.004	 | 	 Cant. de informacion: 7.96578
S74 -- Codigo: 011101111	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S75 -- Codigo: 010111001	 | 	 Probabilidad: 0.00343	 | 	 Cant. de informacion: 8.18818
S76 -- Codigo: 101000111	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S77 -- Codigo: 010010011	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S78 -- Codigo: 011111000	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S79 -- Codigo: 101000101	 | 	 Probabilidad: 0.00286	 | 	 Cant. de informacion: 8.45121
S80 -- Codigo: 101000001	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S81 -- Codigo: 001110001	 | 	 Probabilidad: 0.00143	 | 	 Cant. de informacion: 9.45121
S82 -- Codigo: 111000100	 | 	 Probabilidad: 0.00314	 | 	 Cant. de informacion: 8.31371
S83 -- Codigo: 011011001	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S84 -- Codigo: 000010101	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S85 -- Codigo: 011000110	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
S86 -- Codigo: 010110111	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S87 -- Codigo: 010000100	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S88 -- Codigo: 000111111	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S89 -- Codigo: 000101111	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S90 -- Codigo: 000010100	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S91 -- Codigo: 010110000	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S92 -- Codigo: 001111011	 | 	 Probabilidad: 0.00143	 | 	 Cant. de informacion: 9.45121
S93 -- Codigo: 110110000	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S94 -- Codigo: 011001101	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S95 -- Codigo: 110100100	 | 	 Probabilidad: 0.002	 | 	 Cant. de informacion: 8.96578
S96 -- Codigo: 011001100	 | 	 Probabilidad: 0.00343	 | 	 Cant. de informacion: 8.18818
S97 -- Codigo: 111111010	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S98 -- Codigo: 111011111	 | 	 Probabilidad: 0.00171	 | 	 Cant. de informacion: 9.18818
S99 -- Codigo: 001000010	 | 	 Probabilidad: 0.00257	 | 	 Cant. de informacion: 8.60321
S100 -- Codigo: 010011011	 | 	 Probabilidad: 0.00229	 | 	 Cant. de informacion: 8.77314
